optimizer,validation_split,lstm_units,learning_rate,batch_size,epochs,rmse
Adagrad,0.05,190.0,0.0001,160.0,290.0,146.44183349609375
Adagrad,0.05,190.0,0.001,160.0,290.0,145.35025024414062
Adagrad,0.05,190.0,0.01,160.0,290.0,116.5480499267578
Adagrad,0.05,180.0,0.0001,160.0,290.0,322.4541015625
Adagrad,0.05,180.0,0.001,160.0,290.0,146.58303833007812
Adagrad,0.05,180.0,0.01,160.0,290.0,119.0007095336914
Adagrad,0.05,170.0,0.0001,160.0,290.0,175.0146484375
Adagrad,0.05,170.0,0.001,160.0,290.0,145.8242950439453
Adagrad,0.05,170.0,0.01,160.0,290.0,121.60140991210938
Adagrad,0.05,160.0,0.0001,160.0,290.0,151.83778381347656
Adagrad,0.05,160.0,0.001,160.0,290.0,139.91127014160156
Adagrad,0.05,160.0,0.01,160.0,290.0,120.41859436035156
Adagrad,0.05,150.0,0.0001,160.0,290.0,196.30479431152344
Adagrad,0.05,150.0,0.001,160.0,290.0,141.8758087158203
Adagrad,0.05,150.0,0.01,160.0,290.0,117.25186920166016
Adagrad,0.05,140.0,0.0001,160.0,290.0,162.36293029785156
Adagrad,0.05,140.0,0.001,160.0,290.0,142.61825561523438
Adagrad,0.05,140.0,0.01,160.0,290.0,117.25443267822266
Adagrad,0.05,130.0,0.0001,160.0,290.0,220.2915802001953
Adagrad,0.05,130.0,0.001,160.0,290.0,143.59716796875
Adagrad,0.05,130.0,0.01,160.0,290.0,126.42774200439452
Adagrad,0.05,120.0,0.0001,160.0,290.0,172.2100372314453
Adagrad,0.05,120.0,0.001,160.0,290.0,147.48753356933594
Adagrad,0.05,120.0,0.01,160.0,290.0,119.46452331542967
Adagrad,0.05,110.0,0.0001,160.0,290.0,284.9159545898437
Adagrad,0.05,110.0,0.001,160.0,290.0,149.69036865234375
Adagrad,0.05,110.0,0.01,160.0,290.0,122.96491241455078
Adagrad,0.05,100.0,0.0001,160.0,290.0,163.1902618408203
Adagrad,0.05,100.0,0.001,160.0,290.0,138.10946655273438
Adagrad,0.05,100.0,0.01,160.0,290.0,116.96367645263672
Adagrad,0.05,90.0,0.0001,160.0,290.0,344.7287292480469
Adagrad,0.05,90.0,0.001,160.0,290.0,137.56015014648438
Adagrad,0.05,90.0,0.01,160.0,290.0,125.82232666015624
Adagrad,0.05,80.0,0.0001,160.0,290.0,223.0733795166016
Adagrad,0.05,80.0,0.001,160.0,290.0,145.52346801757812
Adagrad,0.05,80.0,0.01,160.0,290.0,121.91912841796876
Adagrad,0.05,70.0,0.0001,160.0,290.0,159.82980346679688
Adagrad,0.05,70.0,0.001,160.0,290.0,144.64483642578125
Adagrad,0.05,70.0,0.01,160.0,290.0,119.47891998291016
Adagrad,0.05,60.0,0.0001,160.0,290.0,473.3343200683594
Adagrad,0.05,60.0,0.001,160.0,290.0,150.91189575195312
Adagrad,0.05,60.0,0.01,160.0,290.0,119.10179138183594
Adagrad,0.05,50.0,0.0001,160.0,290.0,159.97433471679688
Adagrad,0.05,50.0,0.001,160.0,290.0,146.46974182128906
Adagrad,0.05,50.0,0.01,160.0,290.0,126.43537139892578
Adagrad,0.05,40.0,0.0001,160.0,290.0,253.7021026611328
Adagrad,0.05,40.0,0.001,160.0,290.0,149.5756072998047
Adagrad,0.05,40.0,0.01,160.0,290.0,132.39837646484375
Adagrad,0.05,30.0,0.0001,160.0,290.0,144.2421875
Adagrad,0.05,30.0,0.001,160.0,290.0,175.98899841308594
Adagrad,0.05,30.0,0.01,160.0,290.0,116.27806854248048
Adagrad,0.05,20.0,0.0001,160.0,290.0,391.3910827636719
Adagrad,0.05,20.0,0.001,160.0,290.0,213.17739868164065
Adagrad,0.05,20.0,0.01,160.0,290.0,119.81475830078124
Adagrad,0.05,10.0,0.0001,160.0,290.0,476.2613525390625
Adagrad,0.05,10.0,0.001,160.0,290.0,141.46640014648438
Adagrad,0.05,10.0,0.01,160.0,290.0,115.8800277709961
Adagrad,0.05,190.0,0.0001,128.0,290.0,145.4721221923828
Adagrad,0.05,190.0,0.001,128.0,290.0,145.71295166015625
Adagrad,0.05,190.0,0.01,128.0,290.0,125.21978759765624
Adagrad,0.05,180.0,0.0001,128.0,290.0,149.51309204101562
Adagrad,0.05,180.0,0.001,128.0,290.0,142.32867431640625
Adagrad,0.05,180.0,0.01,128.0,290.0,129.94052124023438
Adagrad,0.05,170.0,0.0001,128.0,290.0,153.14602661132812
Adagrad,0.05,170.0,0.001,128.0,290.0,146.61871337890625
Adagrad,0.05,170.0,0.01,128.0,290.0,125.4915771484375
Adagrad,0.05,160.0,0.0001,128.0,290.0,176.8633270263672
Adagrad,0.05,160.0,0.001,128.0,290.0,143.6650848388672
Adagrad,0.05,160.0,0.01,128.0,290.0,126.4022445678711
Adagrad,0.05,150.0,0.0001,128.0,290.0,174.35304260253906
Adagrad,0.05,150.0,0.001,128.0,290.0,145.37631225585938
Adagrad,0.05,150.0,0.01,128.0,290.0,118.6978530883789
Adagrad,0.05,140.0,0.0001,128.0,290.0,167.06407165527344
Adagrad,0.05,140.0,0.001,128.0,290.0,144.56573486328125
Adagrad,0.05,140.0,0.01,128.0,290.0,126.9056396484375
Adagrad,0.05,130.0,0.0001,128.0,290.0,337.87371826171875
Adagrad,0.05,130.0,0.001,128.0,290.0,145.36927795410156
Adagrad,0.05,130.0,0.01,128.0,290.0,122.4729461669922
Adagrad,0.05,120.0,0.0001,128.0,290.0,151.8539276123047
Adagrad,0.05,120.0,0.001,128.0,290.0,146.49588012695312
Adagrad,0.05,120.0,0.01,128.0,290.0,127.11809539794922
Adagrad,0.05,110.0,0.0001,128.0,290.0,152.43136596679688
Adagrad,0.05,110.0,0.001,128.0,290.0,146.96795654296875
Adagrad,0.05,110.0,0.01,128.0,290.0,123.1299819946289
Adagrad,0.05,100.0,0.0001,128.0,290.0,202.3863525390625
Adagrad,0.05,100.0,0.001,128.0,290.0,141.97634887695312
Adagrad,0.05,100.0,0.01,128.0,290.0,122.09476470947266
Adagrad,0.05,90.0,0.0001,128.0,290.0,625.6353149414062
Adagrad,0.05,90.0,0.001,128.0,290.0,143.08355712890625
Adagrad,0.05,90.0,0.01,128.0,290.0,124.8564682006836
Adagrad,0.05,80.0,0.0001,128.0,290.0,160.44924926757812
Adagrad,0.05,80.0,0.001,128.0,290.0,143.0575408935547
