TRACT_ID,YEAR,TOTAL_POPULATION,LAND_AREA
06001400100,2014,3385,2.657
06001400200,2014,1939,0.230
06001400300,2014,5428,0.427
06001400400,2014,4279,0.271
06001400500,2014,3516,0.227
06001400600,2014,1750,0.115
06001400700,2014,4396,0.340
06001400800,2014,3218,0.268
06001400900,2014,2031,0.165
06001401000,2014,5505,0.446
06001401100,2014,4240,0.343
06001401200,2014,2345,0.258
06001401300,2014,3815,0.331
06001401400,2014,4297,0.292
06001401500,2014,2131,0.181
06001401600,2014,1919,0.245
06001401700,2014,2603,2.240
06001401800,2014,1794,0.115
06001402200,2014,2446,0.274
06001402400,2014,2846,0.130
06001402500,2014,1909,0.141
06001402600,2014,1029,0.123
06001402700,2014,1647,0.154
06001402800,2014,3299,0.154
06001402900,2014,1399,0.150
06001403000,2014,2471,0.137
06001403100,2014,1782,0.134
06001403300,2014,3785,0.358
06001403400,2014,4361,0.254
06001403501,2014,4495,0.258
06001403502,2014,2018,0.070
06001403600,2014,4398,0.150
06001403701,2014,2473,0.068
06001403702,2014,1902,0.077
06001403800,2014,3455,0.253
06001403900,2014,3992,0.191
06001404000,2014,2805,0.143
06001404101,2014,2911,0.222
06001404102,2014,2511,0.089
06001404200,2014,3436,1.054
06001404300,2014,3348,0.707
06001404400,2014,5156,1.592
06001404501,2014,1754,0.428
06001404502,2014,5383,1.186
06001404600,2014,4473,1.887
06001404700,2014,2071,0.466
06001404800,2014,2894,0.243
06001404900,2014,4338,0.391
06001405000,2014,3403,0.313
06001405100,2014,4084,0.490
06001405200,2014,4521,0.330
06001405301,2014,2659,0.087
06001405302,2014,2714,0.078
06001405401,2014,4324,0.122
06001405402,2014,2774,0.110
06001405500,2014,3901,0.159
06001405600,2014,3203,0.165
06001405700,2014,3366,0.212
06001405800,2014,3924,0.200
06001405901,2014,3820,0.174
06001405902,2014,3521,0.188
06001406000,2014,3258,0.816
06001406100,2014,4901,0.711
06001406201,2014,4230,0.158
06001406202,2014,4534,0.152
